Rainfall - (MM), Year, Statistics, Country, ISO3
47.7065,1954, Jun Average, Canada, CAN
55.8502,1954, Jul Average, Canada, CAN
54.0097,1954, Aug Average, Canada, CAN
47.7908,1954, Sep Average, Canada, CAN
35.9995,1954, Oct Average, Canada, CAN
37.1789,1954, Nov Average, Canada, CAN
33.2443,1954, Dec Average, Canada, CAN
27.7706,1955, Jan Average, Canada, CAN
22.954,1955, Feb Average, Canada, CAN
30.644,1955, Mar Average, Canada, CAN
23.6618,1955, Apr Average, Canada, CAN
31.6288,1955, May Average, Canada, CAN
40.2745,1955, Jun Average, Canada, CAN
58.1693,1955, Jul Average, Canada, CAN
49.9874,1955, Aug Average, Canada, CAN
41.6956,1955, Sep Average, Canada, CAN
43.1775,1955, Oct Average, Canada, CAN
39.2027,1955, Nov Average, Canada, CAN
30.4912,1955, Dec Average, Canada, CAN
29.4364,1956, Jan Average, Canada, CAN
27.4358,1956, Feb Average, Canada, CAN
22.1075,1956, Mar Average, Canada, CAN
18.3885,1956, Apr Average, Canada, CAN
26.5263,1956, May Average, Canada, CAN
49.452,1956, Jun Average, Canada, CAN
54.4594,1956, Jul Average, Canada, CAN
53.0966,1956, Aug Average, Canada, CAN
40.2425,1956, Sep Average, Canada, CAN
35.2206,1956, Oct Average, Canada, CAN
34.1175,1956, Nov Average, Canada, CAN
34.0533,1956, Dec Average, Canada, CAN
18.9113,1957, Jan Average, Canada, CAN
22.9507,1957, Feb Average, Canada, CAN
22.6419,1957, Mar Average, Canada, CAN
21.2594,1957, Apr Average, Canada, CAN
25.1922,1957, May Average, Canada, CAN
48.9961,1957, Jun Average, Canada, CAN
64.3847,1957, Jul Average, Canada, CAN
50.7217,1957, Aug Average, Canada, CAN
45.3512,1957, Sep Average, Canada, CAN
32.6921,1957, Oct Average, Canada, CAN
39.346,1957, Nov Average, Canada, CAN
38.4176,1957, Dec Average, Canada, CAN
32.0303,1958, Jan Average, Canada, CAN
27.6829,1958, Feb Average, Canada, CAN
18.9733,1958, Mar Average, Canada, CAN
25.2912,1958, Apr Average, Canada, CAN
28.4931,1958, May Average, Canada, CAN
40.1054,1958, Jun Average, Canada, CAN
47.4092,1958, Jul Average, Canada, CAN
54.8282,1958, Aug Average, Canada, CAN
50.9202,1958, Sep Average, Canada, CAN
34.7588,1958, Oct Average, Canada, CAN
38.3568,1958, Nov Average, Canada, CAN
33.4194,1958, Dec Average, Canada, CAN
31.524,1959, Jan Average, Canada, CAN
19.0077,1959, Feb Average, Canada, CAN
24.6389,1959, Mar Average, Canada, CAN
22.4172,1959, Apr Average, Canada, CAN
33.0122,1959, May Average, Canada, CAN
48.9414,1959, Jun Average, Canada, CAN
54.6569,1959, Jul Average, Canada, CAN
60.6274,1959, Aug Average, Canada, CAN
52.0168,1959, Sep Average, Canada, CAN
46.9509,1959, Oct Average, Canada, CAN
42.9554,1959, Nov Average, Canada, CAN
30.9696,1959, Dec Average, Canada, CAN
25.3916,1960, Jan Average, Canada, CAN
29.4017,1960, Feb Average, Canada, CAN
22.4583,1960, Mar Average, Canada, CAN
24.2536,1960, Apr Average, Canada, CAN
33.5952,1960, May Average, Canada, CAN
46.3813,1960, Jun Average, Canada, CAN
56.9882,1960, Jul Average, Canada, CAN
60.9452,1960, Aug Average, Canada, CAN
45.3172,1960, Sep Average, Canada, CAN
41.7947,1960, Oct Average, Canada, CAN
35.2817,1960, Nov Average, Canada, CAN
28.0179,1960, Dec Average, Canada, CAN
23.4022,1961, Jan Average, Canada, CAN
26.8772,1961, Feb Average, Canada, CAN
25.0989,1961, Mar Average, Canada, CAN
23.3136,1961, Apr Average, Canada, CAN
28.9566,1961, May Average, Canada, CAN
42.303,1961, Jun Average, Canada, CAN
53.0975,1961, Jul Average, Canada, CAN
45.4999,1961, Aug Average, Canada, CAN
49.0895,1961, Sep Average, Canada, CAN
45.3973,1961, Oct Average, Canada, CAN
34.9543,1961, Nov Average, Canada, CAN
34.5093,1961, Dec Average, Canada, CAN
33.6882,1962, Jan Average, Canada, CAN
19.1573,1962, Feb Average, Canada, CAN
22.7559,1962, Mar Average, Canada, CAN
24.6199,1962, Apr Average, Canada, CAN
31.394,1962, May Average, Canada, CAN
49.2096,1962, Jun Average, Canada, CAN
61.9577,1962, Jul Average, Canada, CAN
56.5903,1962, Aug Average, Canada, CAN
44.7772,1962, Sep Average, Canada, CAN
36.8463,1962, Oct Average, Canada, CAN
34.9675,1962, Nov Average, Canada, CAN
34.6488,1962, Dec Average, Canada, CAN
28.737,1963, Jan Average, Canada, CAN
28.5096,1963, Feb Average, Canada, CAN
24.7804,1963, Mar Average, Canada, CAN
24.8485,1963, Apr Average, Canada, CAN
26.6693,1963, May Average, Canada, CAN
46.0034,1963, Jun Average, Canada, CAN
67.6593,1963, Jul Average, Canada, CAN
51.4453,1963, Aug Average, Canada, CAN
44.6647,1963, Sep Average, Canada, CAN
35.5942,1963, Oct Average, Canada, CAN
45.8534,1963, Nov Average, Canada, CAN
29.8029,1963, Dec Average, Canada, CAN
31.8558,1964, Jan Average, Canada, CAN
24.1173,1964, Feb Average, Canada, CAN
26.1457,1964, Mar Average, Canada, CAN
26.3397,1964, Apr Average, Canada, CAN
36.099,1964, May Average, Canada, CAN
48.0267,1964, Jun Average, Canada, CAN
56.3874,1964, Jul Average, Canada, CAN
59.3821,1964, Aug Average, Canada, CAN
47.8446,1964, Sep Average, Canada, CAN
34.9055,1964, Oct Average, Canada, CAN
34.8067,1964, Nov Average, Canada, CAN
31.7653,1964, Dec Average, Canada, CAN
31.3165,1965, Jan Average, Canada, CAN
32.8395,1965, Feb Average, Canada, CAN
16.0029,1965, Mar Average, Canada, CAN
20.1853,1965, Apr Average, Canada, CAN
36.4495,1965, May Average, Canada, CAN
49.3514,1965, Jun Average, Canada, CAN
56.251,1965, Jul Average, Canada, CAN
53.9417,1965, Aug Average, Canada, CAN
45.1704,1965, Sep Average, Canada, CAN
42.4531,1965, Oct Average, Canada, CAN
37.0024,1965, Nov Average, Canada, CAN
28.1145,1965, Dec Average, Canada, CAN
28.7957,1966, Jan Average, Canada, CAN
18.2217,1966, Feb Average, Canada, CAN
28.4204,1966, Mar Average, Canada, CAN
21.2512,1966, Apr Average, Canada, CAN
29.311,1966, May Average, Canada, CAN
44.9624,1966, Jun Average, Canada, CAN
59.4704,1966, Jul Average, Canada, CAN
60.7368,1966, Aug Average, Canada, CAN
42.0817,1966, Sep Average, Canada, CAN
47.3959,1966, Oct Average, Canada, CAN
42.3589,1966, Nov Average, Canada, CAN
32.5509,1966, Dec Average, Canada, CAN
30.5814,1967, Jan Average, Canada, CAN
24.443,1967, Feb Average, Canada, CAN
24.3939,1967, Mar Average, Canada, CAN
20.3072,1967, Apr Average, Canada, CAN
27.7503,1967, May Average, Canada, CAN
39.4451,1967, Jun Average, Canada, CAN
62.7729,1967, Jul Average, Canada, CAN
48.0282,1967, Aug Average, Canada, CAN
45.113,1967, Sep Average, Canada, CAN
48.0156,1967, Oct Average, Canada, CAN
34.6513,1967, Nov Average, Canada, CAN
35.2428,1967, Dec Average, Canada, CAN
30.3046,1968, Jan Average, Canada, CAN
23.4594,1968, Feb Average, Canada, CAN
26.9639,1968, Mar Average, Canada, CAN
25.7308,1968, Apr Average, Canada, CAN
26.2902,1968, May Average, Canada, CAN
44.7281,1968, Jun Average, Canada, CAN
59.5955,1968, Jul Average, Canada, CAN
54.2995,1968, Aug Average, Canada, CAN
50.4139,1968, Sep Average, Canada, CAN
50.272,1968, Oct Average, Canada, CAN
32.5829,1968, Nov Average, Canada, CAN
34.6584,1968, Dec Average, Canada, CAN
31.5828,1969, Jan Average, Canada, CAN
19.2806,1969, Feb Average, Canada, CAN
19.3631,1969, Mar Average, Canada, CAN
22.7796,1969, Apr Average, Canada, CAN
30.308,1969, May Average, Canada, CAN
38.8685,1969, Jun Average, Canada, CAN
55.2527,1969, Jul Average, Canada, CAN
62.6093,1969, Aug Average, Canada, CAN
48.7999,1969, Sep Average, Canada, CAN
33.2864,1969, Oct Average, Canada, CAN
44.4776,1969, Nov Average, Canada, CAN
32.8487,1969, Dec Average, Canada, CAN
23.33,1970, Jan Average, Canada, CAN
21.2561,1970, Feb Average, Canada, CAN
23.1044,1970, Mar Average, Canada, CAN
23.1622,1970, Apr Average, Canada, CAN
33.2727,1970, May Average, Canada, CAN
51.1223,1970, Jun Average, Canada, CAN
55.9302,1970, Jul Average, Canada, CAN
54.247,1970, Aug Average, Canada, CAN
51.7125,1970, Sep Average, Canada, CAN
41.9516,1970, Oct Average, Canada, CAN
31.6092,1970, Nov Average, Canada, CAN
30.4723,1970, Dec Average, Canada, CAN
33.6404,1971, Jan Average, Canada, CAN
26.0748,1971, Feb Average, Canada, CAN
26.2743,1971, Mar Average, Canada, CAN
23.986,1971, Apr Average, Canada, CAN
27.8642,1971, May Average, Canada, CAN
47.8564,1971, Jun Average, Canada, CAN
58.6803,1971, Jul Average, Canada, CAN
54.6977,1971, Aug Average, Canada, CAN
52.2125,1971, Sep Average, Canada, CAN
45.8615,1971, Oct Average, Canada, CAN
38.4552,1971, Nov Average, Canada, CAN
33.4655,1971, Dec Average, Canada, CAN
28.4831,1972, Jan Average, Canada, CAN
29.8813,1972, Feb Average, Canada, CAN
33.459,1972, Mar Average, Canada, CAN
21.8713,1972, Apr Average, Canada, CAN
27.8967,1972, May Average, Canada, CAN
50.5256,1972, Jun Average, Canada, CAN
52.7232,1972, Jul Average, Canada, CAN
53.1781,1972, Aug Average, Canada, CAN
52.6391,1972, Sep Average, Canada, CAN
38.4631,1972, Oct Average, Canada, CAN
29.4118,1972, Nov Average, Canada, CAN
31.7319,1972, Dec Average, Canada, CAN
27.2964,1973, Jan Average, Canada, CAN
23.0502,1973, Feb Average, Canada, CAN
25.3717,1973, Mar Average, Canada, CAN
28.5937,1973, Apr Average, Canada, CAN
29.1161,1973, May Average, Canada, CAN
54.1812,1973, Jun Average, Canada, CAN
55.5706,1973, Jul Average, Canada, CAN
63.4182,1973, Aug Average, Canada, CAN
49.6504,1973, Sep Average, Canada, CAN
41.4936,1973, Oct Average, Canada, CAN
41.9875,1973, Nov Average, Canada, CAN
35.1954,1973, Dec Average, Canada, CAN
32.7043,1974, Jan Average, Canada, CAN
24.4528,1974, Feb Average, Canada, CAN
29.0753,1974, Mar Average, Canada, CAN
26.3847,1974, Apr Average, Canada, CAN
37.9506,1974, May Average, Canada, CAN
49.884,1974, Jun Average, Canada, CAN
61.3664,1974, Jul Average, Canada, CAN
59.0514,1974, Aug Average, Canada, CAN
43.7773,1974, Sep Average, Canada, CAN
42.1425,1974, Oct Average, Canada, CAN
31.9773,1974, Nov Average, Canada, CAN
33.4209,1974, Dec Average, Canada, CAN
29.8147,1975, Jan Average, Canada, CAN
19.5634,1975, Feb Average, Canada, CAN
25.8168,1975, Mar Average, Canada, CAN
25.6136,1975, Apr Average, Canada, CAN
29.2152,1975, May Average, Canada, CAN
50.3928,1975, Jun Average, Canada, CAN
61.0204,1975, Jul Average, Canada, CAN
63.1469,1975, Aug Average, Canada, CAN
41.9872,1975, Sep Average, Canada, CAN
41.8816,1975, Oct Average, Canada, CAN
40.9308,1975, Nov Average, Canada, CAN
35.576,1975, Dec Average, Canada, CAN
31.301,1976, Jan Average, Canada, CAN
26.7304,1976, Feb Average, Canada, CAN
28.8898,1976, Mar Average, Canada, CAN
26.0722,1976, Apr Average, Canada, CAN
36.147,1976, May Average, Canada, CAN
53.0555,1976, Jun Average, Canada, CAN
61.5692,1976, Jul Average, Canada, CAN
57.1696,1976, Aug Average, Canada, CAN
38.8476,1976, Sep Average, Canada, CAN
36.9827,1976, Oct Average, Canada, CAN
26.1514,1976, Nov Average, Canada, CAN
36.9964,1976, Dec Average, Canada, CAN
30.5888,1977, Jan Average, Canada, CAN
23.7728,1977, Feb Average, Canada, CAN
27.6742,1977, Mar Average, Canada, CAN
23.4707,1977, Apr Average, Canada, CAN
41.8325,1977, May Average, Canada, CAN
46.4958,1977, Jun Average, Canada, CAN
61.1316,1977, Jul Average, Canada, CAN
50.8092,1977, Aug Average, Canada, CAN
46.0657,1977, Sep Average, Canada, CAN
40.8282,1977, Oct Average, Canada, CAN
41.8077,1977, Nov Average, Canada, CAN
31.006,1977, Dec Average, Canada, CAN
25.6227,1978, Jan Average, Canada, CAN
14.685,1978, Feb Average, Canada, CAN
22.8947,1978, Mar Average, Canada, CAN
26.4516,1978, Apr Average, Canada, CAN
35.1362,1978, May Average, Canada, CAN
49.24,1978, Jun Average, Canada, CAN
59.9285,1978, Jul Average, Canada, CAN
65.3139,1978, Aug Average, Canada, CAN
47.8763,1978, Sep Average, Canada, CAN
40.7074,1978, Oct Average, Canada, CAN
34.1593,1978, Nov Average, Canada, CAN
30.5204,1978, Dec Average, Canada, CAN
23.743,1979, Jan Average, Canada, CAN
24.2648,1979, Feb Average, Canada, CAN
31.5576,1979, Mar Average, Canada, CAN
28.0533,1979, Apr Average, Canada, CAN
40.9515,1979, May Average, Canada, CAN
48.7846,1979, Jun Average, Canada, CAN
58.7881,1979, Jul Average, Canada, CAN
56.5579,1979, Aug Average, Canada, CAN
50.1132,1979, Sep Average, Canada, CAN
43.2324,1979, Oct Average, Canada, CAN
30.9597,1979, Nov Average, Canada, CAN
33.0396,1979, Dec Average, Canada, CAN
28.7803,1980, Jan Average, Canada, CAN
18.1049,1980, Feb Average, Canada, CAN
26.1109,1980, Mar Average, Canada, CAN
24.4864,1980, Apr Average, Canada, CAN
32.5627,1980, May Average, Canada, CAN
48.5299,1980, Jun Average, Canada, CAN
61.2193,1980, Jul Average, Canada, CAN
65.166,1980, Aug Average, Canada, CAN
59.9289,1980, Sep Average, Canada, CAN
38.3458,1980, Oct Average, Canada, CAN
35.1401,1980, Nov Average, Canada, CAN
40.0238,1980, Dec Average, Canada, CAN
22.4866,1981, Jan Average, Canada, CAN
26.0932,1981, Feb Average, Canada, CAN
22.3106,1981, Mar Average, Canada, CAN
32.8397,1981, Apr Average, Canada, CAN
33.3543,1981, May Average, Canada, CAN
57.3583,1981, Jun Average, Canada, CAN
54.7797,1981, Jul Average, Canada, CAN
50.2669,1981, Aug Average, Canada, CAN
56.48,1981, Sep Average, Canada, CAN
50.8365,1981, Oct Average, Canada, CAN
34.7058,1981, Nov Average, Canada, CAN
29.2444,1981, Dec Average, Canada, CAN
37.3694,1982, Jan Average, Canada, CAN
23.0662,1982, Feb Average, Canada, CAN
26.4967,1982, Mar Average, Canada, CAN
27.8706,1982, Apr Average, Canada, CAN
32.1379,1982, May Average, Canada, CAN
47.2122,1982, Jun Average, Canada, CAN
62.2768,1982, Jul Average, Canada, CAN
59.7847,1982, Aug Average, Canada, CAN
53.3212,1982, Sep Average, Canada, CAN
42.3814,1982, Oct Average, Canada, CAN
33.2688,1982, Nov Average, Canada, CAN
31.0048,1982, Dec Average, Canada, CAN
27.5051,1983, Jan Average, Canada, CAN
22.5678,1983, Feb Average, Canada, CAN
29.3211,1983, Mar Average, Canada, CAN
29.514,1983, Apr Average, Canada, CAN
34.3898,1983, May Average, Canada, CAN
49.1412,1983, Jun Average, Canada, CAN
63.7739,1983, Jul Average, Canada, CAN
50.2787,1983, Aug Average, Canada, CAN
57.882,1983, Sep Average, Canada, CAN
40.0549,1983, Oct Average, Canada, CAN
40.7865,1983, Nov Average, Canada, CAN
28.2985,1983, Dec Average, Canada, CAN
27.533,1984, Jan Average, Canada, CAN
26.239,1984, Feb Average, Canada, CAN
23.1136,1984, Mar Average, Canada, CAN
22.4547,1984, Apr Average, Canada, CAN
39.9478,1984, May Average, Canada, CAN
61.4615,1984, Jun Average, Canada, CAN
59.9509,1984, Jul Average, Canada, CAN
58.818,1984, Aug Average, Canada, CAN
46.583,1984, Sep Average, Canada, CAN
46.7598,1984, Oct Average, Canada, CAN
37.1554,1984, Nov Average, Canada, CAN
31.4287,1984, Dec Average, Canada, CAN
23.5709,1985, Jan Average, Canada, CAN
26.0554,1985, Feb Average, Canada, CAN
22.4367,1985, Mar Average, Canada, CAN
25.9387,1985, Apr Average, Canada, CAN
33.5218,1985, May Average, Canada, CAN
44.7689,1985, Jun Average, Canada, CAN
60.1862,1985, Jul Average, Canada, CAN
60.3945,1985, Aug Average, Canada, CAN
57.5377,1985, Sep Average, Canada, CAN
43.6127,1985, Oct Average, Canada, CAN
32.0139,1985, Nov Average, Canada, CAN
25.0169,1985, Dec Average, Canada, CAN
32.3614,1986, Jan Average, Canada, CAN
21.824,1986, Feb Average, Canada, CAN
27.8787,1986, Mar Average, Canada, CAN
31.4719,1986, Apr Average, Canada, CAN
34.5838,1986, May Average, Canada, CAN
49.2131,1986, Jun Average, Canada, CAN
62.5094,1986, Jul Average, Canada, CAN
58.8457,1986, Aug Average, Canada, CAN
53.1911,1986, Sep Average, Canada, CAN
35.6579,1986, Oct Average, Canada, CAN
35.6797,1986, Nov Average, Canada, CAN
25.9865,1986, Dec Average, Canada, CAN
25.4895,1987, Jan Average, Canada, CAN
21.6329,1987, Feb Average, Canada, CAN
23.3746,1987, Mar Average, Canada, CAN
23.5836,1987, Apr Average, Canada, CAN
32.5999,1987, May Average, Canada, CAN
49.7098,1987, Jun Average, Canada, CAN
61.5732,1987, Jul Average, Canada, CAN
64.348,1987, Aug Average, Canada, CAN
44.5679,1987, Sep Average, Canada, CAN
35.0272,1987, Oct Average, Canada, CAN
37.1659,1987, Nov Average, Canada, CAN
28.7037,1987, Dec Average, Canada, CAN
24.5965,1988, Jan Average, Canada, CAN
24.9542,1988, Feb Average, Canada, CAN
27.5919,1988, Mar Average, Canada, CAN
24.6629,1988, Apr Average, Canada, CAN
35.5226,1988, May Average, Canada, CAN
53.8799,1988, Jun Average, Canada, CAN
63.0192,1988, Jul Average, Canada, CAN
62.8468,1988, Aug Average, Canada, CAN
51.7934,1988, Sep Average, Canada, CAN
41.933,1988, Oct Average, Canada, CAN
43.3777,1988, Nov Average, Canada, CAN
25.5978,1988, Dec Average, Canada, CAN
29.172,1989, Jan Average, Canada, CAN
15.7445,1989, Feb Average, Canada, CAN
22.1677,1989, Mar Average, Canada, CAN
19.0946,1989, Apr Average, Canada, CAN
38.5447,1989, May Average, Canada, CAN
48.3586,1989, Jun Average, Canada, CAN
56.9439,1989, Jul Average, Canada, CAN
52.3204,1989, Aug Average, Canada, CAN
47.4038,1989, Sep Average, Canada, CAN
39.4623,1989, Oct Average, Canada, CAN
49.4974,1989, Nov Average, Canada, CAN
28.5401,1989, Dec Average, Canada, CAN
30.8281,1990, Jan Average, Canada, CAN
21.4976,1990, Feb Average, Canada, CAN
22.1333,1990, Mar Average, Canada, CAN
27.2266,1990, Apr Average, Canada, CAN
31.8013,1990, May Average, Canada, CAN
52.9229,1990, Jun Average, Canada, CAN
54.947,1990, Jul Average, Canada, CAN
52.2514,1990, Aug Average, Canada, CAN
43.7914,1990, Sep Average, Canada, CAN
47.4897,1990, Oct Average, Canada, CAN
43.0974,1990, Nov Average, Canada, CAN
39.5384,1990, Dec Average, Canada, CAN
21.2631,1991, Jan Average, Canada, CAN
22.201,1991, Feb Average, Canada, CAN
27.1536,1991, Mar Average, Canada, CAN
22.739,1991, Apr Average, Canada, CAN
34.3264,1991, May Average, Canada, CAN
50.6414,1991, Jun Average, Canada, CAN
58.5966,1991, Jul Average, Canada, CAN
57.4714,1991, Aug Average, Canada, CAN
53.3175,1991, Sep Average, Canada, CAN
48.7134,1991, Oct Average, Canada, CAN
40.9953,1991, Nov Average, Canada, CAN
31.6931,1991, Dec Average, Canada, CAN
32.9765,1992, Jan Average, Canada, CAN
20.8718,1992, Feb Average, Canada, CAN
23.1448,1992, Mar Average, Canada, CAN
27.5344,1992, Apr Average, Canada, CAN
30.0429,1992, May Average, Canada, CAN
44.9349,1992, Jun Average, Canada, CAN
56.9631,1992, Jul Average, Canada, CAN
54.1,1992, Aug Average, Canada, CAN
63.5801,1992, Sep Average, Canada, CAN
37.8426,1992, Oct Average, Canada, CAN
35.0793,1992, Nov Average, Canada, CAN
27.3459,1992, Dec Average, Canada, CAN
23.1208,1993, Jan Average, Canada, CAN
17.3294,1993, Feb Average, Canada, CAN
20.3115,1993, Mar Average, Canada, CAN
25.654,1993, Apr Average, Canada, CAN
37.0018,1993, May Average, Canada, CAN
51.7326,1993, Jun Average, Canada, CAN
71.576,1993, Jul Average, Canada, CAN
57.6584,1993, Aug Average, Canada, CAN
48.1933,1993, Sep Average, Canada, CAN
39.2609,1993, Oct Average, Canada, CAN
32.4885,1993, Nov Average, Canada, CAN
29.1558,1993, Dec Average, Canada, CAN
29.1627,1994, Jan Average, Canada, CAN
22.3676,1994, Feb Average, Canada, CAN
26.6291,1994, Mar Average, Canada, CAN
24.3355,1994, Apr Average, Canada, CAN
34.6473,1994, May Average, Canada, CAN
50.3888,1994, Jun Average, Canada, CAN
61.3459,1994, Jul Average, Canada, CAN
53.6642,1994, Aug Average, Canada, CAN
50.2541,1994, Sep Average, Canada, CAN
40.1133,1994, Oct Average, Canada, CAN
41.6341,1994, Nov Average, Canada, CAN
27.8465,1994, Dec Average, Canada, CAN
24.259,1995, Jan Average, Canada, CAN
23.0539,1995, Feb Average, Canada, CAN
28.1074,1995, Mar Average, Canada, CAN
22.8418,1995, Apr Average, Canada, CAN
22.7506,1995, May Average, Canada, CAN
41.3449,1995, Jun Average, Canada, CAN
62.9439,1995, Jul Average, Canada, CAN
59.7341,1995, Aug Average, Canada, CAN
40.4246,1995, Sep Average, Canada, CAN
48.2775,1995, Oct Average, Canada, CAN
46.7575,1995, Nov Average, Canada, CAN
28.615,1995, Dec Average, Canada, CAN
31.2896,1996, Jan Average, Canada, CAN
30.7254,1996, Feb Average, Canada, CAN
24.8379,1996, Mar Average, Canada, CAN
29.8722,1996, Apr Average, Canada, CAN
30.8056,1996, May Average, Canada, CAN
47.1003,1996, Jun Average, Canada, CAN
60.4718,1996, Jul Average, Canada, CAN
58.7322,1996, Aug Average, Canada, CAN
53.7867,1996, Sep Average, Canada, CAN
42.8244,1996, Oct Average, Canada, CAN
37.5455,1996, Nov Average, Canada, CAN
37.3798,1996, Dec Average, Canada, CAN
34.0762,1997, Jan Average, Canada, CAN
20.558,1997, Feb Average, Canada, CAN
30.3727,1997, Mar Average, Canada, CAN
23.1618,1997, Apr Average, Canada, CAN
34.8377,1997, May Average, Canada, CAN
56.9751,1997, Jun Average, Canada, CAN
67.6904,1997, Jul Average, Canada, CAN
51.911,1997, Aug Average, Canada, CAN
57.0175,1997, Sep Average, Canada, CAN
46.4276,1997, Oct Average, Canada, CAN
28.5291,1997, Nov Average, Canada, CAN
25.9246,1997, Dec Average, Canada, CAN
29.4,1998, Jan Average, Canada, CAN
20.9726,1998, Feb Average, Canada, CAN
23.8688,1998, Mar Average, Canada, CAN
23.3489,1998, Apr Average, Canada, CAN
32.3,1998, May Average, Canada, CAN
54.3542,1998, Jun Average, Canada, CAN
58.8846,1998, Jul Average, Canada, CAN
51.8431,1998, Aug Average, Canada, CAN
51.0795,1998, Sep Average, Canada, CAN
48.3767,1998, Oct Average, Canada, CAN
33.1645,1998, Nov Average, Canada, CAN
31.952,1998, Dec Average, Canada, CAN
33.8772,1999, Jan Average, Canada, CAN
26.5582,1999, Feb Average, Canada, CAN
27.5446,1999, Mar Average, Canada, CAN
23.6067,1999, Apr Average, Canada, CAN
39.857,1999, May Average, Canada, CAN
57.2368,1999, Jun Average, Canada, CAN
64.2913,1999, Jul Average, Canada, CAN
52.2234,1999, Aug Average, Canada, CAN
51.6808,1999, Sep Average, Canada, CAN
40.7238,1999, Oct Average, Canada, CAN
37.924,1999, Nov Average, Canada, CAN
31.0601,1999, Dec Average, Canada, CAN
27.008,2000, Jan Average, Canada, CAN
19.9457,2000, Feb Average, Canada, CAN
24.9111,2000, Mar Average, Canada, CAN
23.7452,2000, Apr Average, Canada, CAN
35.4066,2000, May Average, Canada, CAN
48.9928,2000, Jun Average, Canada, CAN
58.4801,2000, Jul Average, Canada, CAN
69.7066,2000, Aug Average, Canada, CAN
49.8899,2000, Sep Average, Canada, CAN
36.364,2000, Oct Average, Canada, CAN
30.6535,2000, Nov Average, Canada, CAN
31.8063,2000, Dec Average, Canada, CAN
20.5975,2001, Jan Average, Canada, CAN
20.8466,2001, Feb Average, Canada, CAN
25.2987,2001, Mar Average, Canada, CAN
22.9507,2001, Apr Average, Canada, CAN
39.1733,2001, May Average, Canada, CAN
52.6787,2001, Jun Average, Canada, CAN
62.9671,2001, Jul Average, Canada, CAN
57.4313,2001, Aug Average, Canada, CAN
46.124,2001, Sep Average, Canada, CAN
46.9459,2001, Oct Average, Canada, CAN
35.1088,2001, Nov Average, Canada, CAN
30.8331,2001, Dec Average, Canada, CAN
21.15,2002, Jan Average, Canada, CAN
23.3484,2002, Feb Average, Canada, CAN
27.2724,2002, Mar Average, Canada, CAN
26.0426,2002, Apr Average, Canada, CAN
30.081,2002, May Average, Canada, CAN
48.498,2002, Jun Average, Canada, CAN
68.257,2002, Jul Average, Canada, CAN
61.331,2002, Aug Average, Canada, CAN
50.3175,2002, Sep Average, Canada, CAN
35.7916,2002, Oct Average, Canada, CAN
32.3612,2002, Nov Average, Canada, CAN
27.4381,2002, Dec Average, Canada, CAN
25.7195,2003, Jan Average, Canada, CAN
21.7393,2003, Feb Average, Canada, CAN
28.7282,2003, Mar Average, Canada, CAN
24.4897,2003, Apr Average, Canada, CAN
29.2466,2003, May Average, Canada, CAN
48.4058,2003, Jun Average, Canada, CAN
57.4267,2003, Jul Average, Canada, CAN
52.8481,2003, Aug Average, Canada, CAN
52.5181,2003, Sep Average, Canada, CAN
49.357,2003, Oct Average, Canada, CAN
36.4047,2003, Nov Average, Canada, CAN
32.9501,2003, Dec Average, Canada, CAN
28.1772,2004, Jan Average, Canada, CAN
18.0329,2004, Feb Average, Canada, CAN
26.0458,2004, Mar Average, Canada, CAN
24.7343,2004, Apr Average, Canada, CAN
36.8974,2004, May Average, Canada, CAN
41.56,2004, Jun Average, Canada, CAN
58.0352,2004, Jul Average, Canada, CAN
55.967,2004, Aug Average, Canada, CAN
53.1494,2004, Sep Average, Canada, CAN
41.0477,2004, Oct Average, Canada, CAN
35.077,2004, Nov Average, Canada, CAN
35.5922,2004, Dec Average, Canada, CAN
30.8471,2005, Jan Average, Canada, CAN
23.5946,2005, Feb Average, Canada, CAN
26.9251,2005, Mar Average, Canada, CAN
27.3096,2005, Apr Average, Canada, CAN
31.9728,2005, May Average, Canada, CAN
54.3458,2005, Jun Average, Canada, CAN
64.2793,2005, Jul Average, Canada, CAN
63.7297,2005, Aug Average, Canada, CAN
56.7736,2005, Sep Average, Canada, CAN
46.7671,2005, Oct Average, Canada, CAN
44.0112,2005, Nov Average, Canada, CAN
30.3338,2005, Dec Average, Canada, CAN
31.8443,2006, Jan Average, Canada, CAN
24.0153,2006, Feb Average, Canada, CAN
24.8822,2006, Mar Average, Canada, CAN
24.7781,2006, Apr Average, Canada, CAN
36.9452,2006, May Average, Canada, CAN
46.542,2006, Jun Average, Canada, CAN
61.777,2006, Jul Average, Canada, CAN
51.7388,2006, Aug Average, Canada, CAN
42.1995,2006, Sep Average, Canada, CAN
41.441,2006, Oct Average, Canada, CAN
41.5187,2006, Nov Average, Canada, CAN
30.0514,2006, Dec Average, Canada, CAN
27.6104,2007, Jan Average, Canada, CAN
22.9756,2007, Feb Average, Canada, CAN
32.2346,2007, Mar Average, Canada, CAN
22.2392,2007, Apr Average, Canada, CAN
36.808,2007, May Average, Canada, CAN
48.4646,2007, Jun Average, Canada, CAN
57.3829,2007, Jul Average, Canada, CAN
52.3474,2007, Aug Average, Canada, CAN
59.0167,2007, Sep Average, Canada, CAN
48.4544,2007, Oct Average, Canada, CAN
35.1271,2007, Nov Average, Canada, CAN
30.7634,2007, Dec Average, Canada, CAN
